,actual,fpt,bag,ngram_1,ngram_2,ngram_3,ngram_4,ngram_5,ngram_6,ngram_7,ngram_8,ngram_9,fallback fpt->ngram,hard voting,"soft voting (2, 3, 4)","soft voting (2, 3, 5, 8)","soft voting (2, 3, 4, 5)","soft voting (2, 3, 4)*","soft voting (2, 3, 5, 8)*","soft voting (2, 3, 4, 5)*",alergia,LSTM,transformer
actual,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpt,19.78021978021978,100.0,94.44444444444444,50.0,57.14285714285714,64.0,72.0,72.0,72.0,72.0,72.0,72.0,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571,84.21052631578947,84.21052631578947,84.21052631578947,45.45454545454545,45.26315789473684,46.42857142857143
bag,19.78021978021978,94.44444444444444,100.0,40.0,52.38095238095239,60.0,68.0,68.0,68.0,68.0,68.0,68.0,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,78.94736842105263,78.94736842105263,78.94736842105263,45.45454545454545,40.0,45.0
ngram_1,10.989010989010989,27.77777777777778,22.22222222222222,100.0,47.61904761904761,40.0,32.0,32.0,32.0,32.0,32.0,32.0,38.095238095238095,38.095238095238095,38.095238095238095,38.095238095238095,38.095238095238095,42.10526315789473,42.10526315789473,42.10526315789473,27.27272727272727,52.63157894736842,28.57142857142857
ngram_2,23.076923076923077,66.66666666666666,61.111111111111114,100.0,100.0,84.0,76.0,76.0,76.0,76.0,76.0,76.0,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,78.94736842105263,78.94736842105263,78.94736842105263,68.18181818181817,88.42105263157895,56.42857142857143
ngram_3,27.472527472527474,88.88888888888889,83.33333333333334,100.0,100.0,100.0,92.0,92.0,92.0,92.0,92.0,92.0,90.47619047619048,90.47619047619048,90.47619047619048,90.47619047619048,90.47619047619048,100.0,100.0,100.0,68.18181818181817,92.63157894736842,67.85714285714286
ngram_4,27.472527472527474,100.0,94.44444444444444,80.0,90.47619047619048,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,63.63636363636363,82.10526315789474,68.57142857142857
ngram_5,27.472527472527474,100.0,94.44444444444444,80.0,90.47619047619048,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,63.63636363636363,82.10526315789474,68.57142857142857
ngram_6,27.472527472527474,100.0,94.44444444444444,80.0,90.47619047619048,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,63.63636363636363,82.10526315789474,68.57142857142857
ngram_7,27.472527472527474,100.0,94.44444444444444,80.0,90.47619047619048,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,63.63636363636363,82.10526315789474,68.57142857142857
ngram_8,27.472527472527474,100.0,94.44444444444444,80.0,90.47619047619048,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,63.63636363636363,82.10526315789474,68.57142857142857
ngram_9,27.472527472527474,100.0,94.44444444444444,80.0,90.47619047619048,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,63.63636363636363,82.10526315789474,68.57142857142857
fallback fpt->ngram,23.076923076923077,100.0,94.44444444444444,80.0,71.42857142857143,76.0,84.0,84.0,84.0,84.0,84.0,84.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,54.54545454545454,61.05263157894737,55.714285714285715
hard voting,23.076923076923077,100.0,94.44444444444444,80.0,71.42857142857143,76.0,84.0,84.0,84.0,84.0,84.0,84.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,54.54545454545454,61.05263157894737,55.714285714285715
"soft voting (2, 3, 4)",23.076923076923077,100.0,94.44444444444444,80.0,71.42857142857143,76.0,84.0,84.0,84.0,84.0,84.0,84.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,54.54545454545454,61.05263157894737,55.714285714285715
"soft voting (2, 3, 5, 8)",23.076923076923077,100.0,94.44444444444444,80.0,71.42857142857143,76.0,84.0,84.0,84.0,84.0,84.0,84.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,54.54545454545454,61.05263157894737,55.714285714285715
"soft voting (2, 3, 4, 5)",23.076923076923077,100.0,94.44444444444444,80.0,71.42857142857143,76.0,84.0,84.0,84.0,84.0,84.0,84.0,100.0,100.0,100.0,100.0,100.0,89.47368421052632,89.47368421052632,89.47368421052632,54.54545454545454,61.05263157894737,55.714285714285715
"soft voting (2, 3, 4)*",20.87912087912088,88.88888888888889,83.33333333333334,80.0,71.42857142857143,76.0,68.0,68.0,68.0,68.0,68.0,68.0,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,100.0,100.0,100.0,54.54545454545454,61.05263157894737,49.28571428571429
"soft voting (2, 3, 5, 8)*",20.87912087912088,88.88888888888889,83.33333333333334,80.0,71.42857142857143,76.0,68.0,68.0,68.0,68.0,68.0,68.0,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,100.0,100.0,100.0,54.54545454545454,61.05263157894737,49.28571428571429
"soft voting (2, 3, 4, 5)*",20.87912087912088,88.88888888888889,83.33333333333334,80.0,71.42857142857143,76.0,68.0,68.0,68.0,68.0,68.0,68.0,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,100.0,100.0,100.0,54.54545454545454,61.05263157894737,49.28571428571429
alergia,24.175824175824175,55.55555555555556,55.55555555555556,60.0,71.42857142857143,60.0,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714,63.1578947368421,63.1578947368421,63.1578947368421,100.0,56.84210526315789,46.42857142857143
LSTM,20.87912087912088,47.77777777777778,42.22222222222222,100.0,80.0,70.39999999999999,62.4,62.4,62.4,62.4,62.4,62.4,55.23809523809524,55.23809523809524,55.23809523809524,55.23809523809524,55.23809523809524,61.05263157894737,61.05263157894737,61.05263157894737,49.09090909090909,100.0,44.285714285714285
transformer,30.76923076923077,72.22222222222221,70.0,80.0,75.23809523809524,76.0,76.8,76.8,76.8,76.8,76.8,76.8,74.28571428571429,74.28571428571429,74.28571428571429,74.28571428571429,74.28571428571429,72.63157894736842,72.63157894736842,72.63157894736842,59.09090909090909,65.26315789473685,100.0
